CCT,c_nombre,ASESOR,sostenimiento_c_subcontrol,tiponivelsub_c_servicion3
31EES0011O,VICENTE GUERRERO,ALICIA,ESTATAL,GENERAL
31EES0007B,LOS TRATADOS DE TZUCACAB,ALICIA,ESTATAL,GENERAL
31ETV0018N,PLUTARCO ELIAS CALLES,CARLOS,ESTATAL,TELESECUNDARIA
31ETV0101M,SALVADOR ZUBIRAN,CARLOS,ESTATAL,TELESECUNDARIA
31ETV0105I,SANTIAGO PACHECO CRUZ,CARLOS,ESTATAL,TELESECUNDARIA
31ETV0076D,SOR JUANA INES DE LA CRUZ,CARLOS,ESTATAL,TELESECUNDARIA
31DES0018I,JOSEFA ORTIZ DE DOMINGUEZ,SANDY,FEDERAL TRANSFERIDO,GENERAL
31DES0019H,GASPAR ANTONIO XIU,SANDY,FEDERAL TRANSFERIDO,GENERAL
31ETV0001N,ESCUELA TELESECUNDARIA NUM. 1,CARLOS,ESTATAL,TELESECUNDARIA
31DST0015D,ESCUELA SECUNDARIA TECNICA NUM. 15,CARLOS,FEDERAL TRANSFERIDO,TÉCNICA
31ETV0150V,JUAN GARCIA PONCE,CARLOS,ESTATAL,TELESECUNDARIA
31EES0036X,GUILLERMO PRIETO,ALICIA,ESTATAL,GENERAL
31DST0006W,ESCUELA SECUNDARIA TECNICA NUM. 6,CARLOS,FEDERAL TRANSFERIDO,TÉCNICA
31DST0035R,ESCUELA SECUNDARIA TECNICA NUM. 35,CARLOS,FEDERAL TRANSFERIDO,TÉCNICA
31ETV0052U,JOSE FRANCISCO BATES,CARLOS,ESTATAL,TELESECUNDARIA
31EES0018H,ESCUELA SECUNDARIA ESTATAL COMUNIDAD EDUCATIVA BAILLERES,ALICIA,ESTATAL,GENERAL
31DST0028H,ESCUELA SECUNDARIA TECNICA NUM. 25,CARLOS,FEDERAL TRANSFERIDO,TÉCNICA
31DST2008H,ESCUELA SECUNDARIA TECNICA NUM. 63,ANGEL,FEDERAL TRANSFERIDO,TÉCNICA
31EES0059H,CARMEN CERVERA ANDRADE,ALICIA,ESTATAL,GENERAL
31EES0051P,RAMIRO RODRIGUEZ AGUAYO,ALICIA,ESTATAL,GENERAL
31ETV0015Q,ZAMNA,CARLOS,ESTATAL,TELESECUNDARIA
31DST0001A,SILVIO ZAVALA VALLADO,CARLOS,FEDERAL TRANSFERIDO,TÉCNICA
31ETV0114Q,JOSE MARIA ITURRALDE TRACONIS,CARLOS,ESTATAL,TELESECUNDARIA
31ETV0160B,MOISES SAENZ GARZA,CARLOS,ESTATAL,TELESECUNDARIA
31ETV0183M,JUAN PIO PEREZ VERMONT,CARLOS,ESTATAL,TELESECUNDARIA
31ETV0171H,QUETZALCOATL,CARLOS,ESTATAL,TELESECUNDARIA
31ETV0189G,KA'ANSAJIL KUXTAL,CARLOS,ESTATAL,TELESECUNDARIA
31DES2001W,EDMUNDO VILLALVA RODRIGUEZ,SANDY,FEDERAL TRANSFERIDO,GENERAL
31DST0023M,NIÑOS HEROES,ANGEL,FEDERAL TRANSFERIDO,TÉCNICA
31ETV0095S,ARTEMIO ALPIZAR RUZ,CARLOS,ESTATAL,TELESECUNDARIA
31ETV0111T,VICENTE MARIA VELAZQUEZ,CARLOS,ESTATAL,TELESECUNDARIA
31DST2014S,ESCUELA SECUNDARIA TECNICA NUM. 69,ANGEL,FEDERAL TRANSFERIDO,TÉCNICA
31ETV0110U,SERAPIO RENDON,CARLOS,ESTATAL,TELESECUNDARIA
31ETV0141N,ADOLFO LOPEZ MATEOS,CARLOS,ESTATAL,TELESECUNDARIA
31ETV0187I,MATILDE MONTOYA,CARLOS,ESTATAL,TELESECUNDARIA
31DES2006R,SOR JUANA INES DE LA CRUZ,SANDY,FEDERAL TRANSFERIDO,GENERAL
31ETV0113R,CARLOS A. CARRILLO,CARLOS,ESTATAL,TELESECUNDARIA
31ETV0134D,AGUSTIN MELGAR,CARLOS,ESTATAL,TELESECUNDARIA
31ETV0132F,FERNANDO MONTES DE OCA RODRIGUEZ,CARLOS,ESTATAL,TELESECUNDARIA
31EES0010P,LEANDRO VALLE,ALICIA,ESTATAL,GENERAL
31ETV0122Z,FELIPA POOT TZUC,CARLOS,ESTATAL,TELESECUNDARIA
31DST0021O,AGUSTIN FRANCO VILLANUEVA,CARLOS,FEDERAL TRANSFERIDO,TÉCNICA
31DES2002V,JOSE ANDRES ANTUÑA SANCHEZ,SANDY,FEDERAL TRANSFERIDO,GENERAL
31ETV0080Q,RODOLFO MENENDEZ DE LA PEÑA,CARLOS,ESTATAL,TELESECUNDARIA
31ETV0028U,CUAUHTEMOC,CARLOS,ESTATAL,TELESECUNDARIA
31ETV0068V,MANUEL ALCALA MARTIN,CARLOS,ESTATAL,TELESECUNDARIA
31ETV0086K,PRUDENCIO PATRON PENICHE,CARLOS,ESTATAL,TELESECUNDARIA
31EES0038V,REPUBLICA DE MEXICO,ALICIA,ESTATAL,GENERAL
31ETV0097Q,EL APOSTOL DEL ARBOL,CARLOS,ESTATAL,TELESECUNDARIA
31EES0054M,SERAPIO RENDON,ALICIA,ESTATAL,GENERAL
31EES0069O,PURA IRENE ESCALANTE,ALICIA,ESTATAL,GENERAL
31EES0095M,JOSE DE LA LUZ MENA Y ALCOCER,ALICIA,ESTATAL,GENERAL
31EES0111N,HILDA NOEMÍ MÉNDEZ CECÍAS,ALICIA,ESTATAL,GENERAL
31EES0077X,MATILDE CARDENAS ALVAREZ,ALICIA,ESTATAL,GENERAL
31EES0080K,ELMER ORLANDO GOROCICA LARA,ALICIA,ESTATAL,GENERAL
31ETV0070J,ENRIQUE PESTALOZZI,CARLOS,ESTATAL,TELESECUNDARIA
31EES0110O,IRMA FLOR CAMARGO MARTINEZ,ALICIA,ESTATAL,GENERAL
31EES0084G,MIGUEL ANGEL HERCILA AVILEZ,ALICIA,ESTATAL,GENERAL
