CCT,c_nombre,ASESOR,sostenimiento_c_subcontrol,tiponivelsub_c_servicion3
31ETV0021A,ELIGIO ANCONA ROSADO,CARLOS,ESTATAL,TELESECUNDARIA
31ETV0029T,JOSE PEON CONTRERAS,CARLOS,ESTATAL,TELESECUNDARIA
31ETV0146I,EDMUNDO BOLIO ONTIVEROS,CARLOS,ESTATAL,TELESECUNDARIA
31ETV0153S,TIERRA Y LIBERTAD,CARLOS,ESTATAL,TELESECUNDARIA
31DST0045Y,ESCUELA SECUNDARIA TECNICA NUM. 45,ANGEL,FEDERAL TRANSFERIDO,TÉCNICA
31ETV0133E,TELESECUNDARIA NUM. 133,CARLOS,ESTATAL,TELESECUNDARIA
31ETV0078B,GUILLERMO PRIETO,CARLOS,ESTATAL,TELESECUNDARIA
31EES0099I,CARLOS ARANA MENDEZ,ALICIA,ESTATAL,GENERAL
31EES0068P,NACHI-COCOM,ALICIA,ESTATAL,GENERAL
31ETV0147H,GONZALO CAMARA ZAVALA,CARLOS,ESTATAL,TELESECUNDARIA
31EES0008A,GONZALO NAVARRO BAEZ,ALICIA,ESTATAL,GENERAL
31DES0009A,ERMILO ABREU GOMEZ,SANDY,FEDERAL TRANSFERIDO,GENERAL
31DES2005S,ENRIQUE GOTTDIENER SOTO,SANDY,FEDERAL TRANSFERIDO,GENERAL
31DES2004T,OCTAVIO PAZ,SANDY,FEDERAL TRANSFERIDO,GENERAL
31DES2024G,ESTELA MARIA CONDE HERRERA,SANDY,FEDERAL TRANSFERIDO,GENERAL
31DES2014Z,JACINTO CANEK,SANDY,FEDERAL TRANSFERIDO,GENERAL
31DES0023U,RUBEN ANSELMO PEREZ AGUILAR,SANDY,FEDERAL TRANSFERIDO,GENERAL
31ETV0123Y,GUADALUPE VICTORIA,CARLOS,ESTATAL,TELESECUNDARIA
31DST0020P,ESCUELA SECUNDARIA TECNICA NUM. 20,CARLOS,FEDERAL TRANSFERIDO,TÉCNICA
31EES0037W,ONECIFORO BURGOS CONCHA,ALICIA,ESTATAL,GENERAL
31EES0087D,FRANCISCO GONZALEZ BOCANEGRA,ALICIA,ESTATAL,GENERAL
31EES0024S,CARLOS MARX,ALICIA,ESTATAL,GENERAL
31ETV0077C,EDUARDO URZAIZ RODRIGUEZ,CARLOS,ESTATAL,TELESECUNDARIA
31ETV0180P,RITA CETINA GUTIERREZ,CARLOS,ESTATAL,TELESECUNDARIA
31DST0025K,ESCUELA SECUNDARIA TECNICA NUM. 29,CARLOS,FEDERAL TRANSFERIDO,TÉCNICA
31ETV0092V,HERMENEGILDO GALEANA,CARLOS,ESTATAL,TELESECUNDARIA
31EES0034Z,DR. JAIME TORRES BODET,ALICIA,ESTATAL,GENERAL
31ETV0035D,IGNACIO ALLENDE,CARLOS,ESTATAL,TELESECUNDARIA
31ETV0084M,JAIME TORRES BODET,CARLOS,ESTATAL,TELESECUNDARIA
31ETV0003L,JOSE GONZALEZ ROSADO,CARLOS,ESTATAL,TELESECUNDARIA
31EES0013M,JUSTO SIERRA MENDEZ,ALICIA,ESTATAL,GENERAL
31DST0043Z,ESCUELA SECUNDARIA TECNICA NUM. 43,ANGEL,FEDERAL TRANSFERIDO,TÉCNICA
31EES0109Z,JOSE VASCONCELOS,ALICIA,ESTATAL,GENERAL
31DST2010W,ESCUELA SECUNDARIA TECNICA NUM. 65,ANGEL,FEDERAL TRANSFERIDO,TÉCNICA
31ETV0178A,KUKULKAN,CARLOS,ESTATAL,TELESECUNDARIA
31DST0050J,ESCUELA SECUNDARIA TECNICA NUM. 83,ANGEL,FEDERAL TRANSFERIDO,TÉCNICA
31ETV0058O,JUAN RUIZ DE ALARCON,CARLOS,ESTATAL,TELESECUNDARIA
31DST0005X,ESCUELA SECUNDARIA TECNICA NUM. 5,CARLOS,FEDERAL TRANSFERIDO,TÉCNICA
31EES0029N,SATURNINO GOMEZ SOSA,ALICIA,ESTATAL,GENERAL
31DST2015R,ESCUELA SECUNDARIA TECNICA NUM. 70,ANGEL,FEDERAL TRANSFERIDO,TÉCNICA
31ETV0074F,REPUBLICA DE MEXICO,CARLOS,ESTATAL,TELESECUNDARIA
31DST2012U,ESCUELA SECUNDARIA TECNICA NUM. 67,ANGEL,FEDERAL TRANSFERIDO,TÉCNICA
31DES0020X,1 DE mayo,SANDY,FEDERAL TRANSFERIDO,GENERAL
31EES0016J,ESCUELA SECUNDARIA ESTATAL COMUNIDAD EDUCATIVA BAILLERES,ALICIA,ESTATAL,GENERAL
31ETV0010V,BENITO JUAREZ GARCIA,CARLOS,ESTATAL,TELESECUNDARIA
31ETV0016P,JOSE VASCONCELOS,CARLOS,ESTATAL,TELESECUNDARIA
31ETV0019M,LEYES DE REFORMA,CARLOS,ESTATAL,TELESECUNDARIA
31ETV0017O,VALENTIN GOMEZ FARIAS,CARLOS,ESTATAL,TELESECUNDARIA
31DST0003Z,ESCUELA SECUNDARIA TECNICA NUM. 3,CARLOS,FEDERAL TRANSFERIDO,TÉCNICA
31DST0007V,GEORGE FRANKLIN GAUMER KLIERO,CARLOS,FEDERAL TRANSFERIDO,TÉCNICA
31DST0019Z,ESCUELA SECUNDARIA TECNICA NUM. 19,CARLOS,FEDERAL TRANSFERIDO,TÉCNICA
31DST0018A,ESCUELA SECUNDARIA TECNICA NUM. 18,CARLOS,FEDERAL TRANSFERIDO,TÉCNICA
31ETV0181O,GREGORIO TORRES QUINTERO,CARLOS,ESTATAL,TELESECUNDARIA
31DST0002Z,ESCUELA SECUNDARIA TECNICA NUM. 2,CARLOS,FEDERAL TRANSFERIDO,TÉCNICA
31ETV0131G,AVELINO ARJONA MOGUEL,CARLOS,ESTATAL,TELESECUNDARIA
31DST0052H,ESCUELA SECUNDARIA TECNICA NUM. 52,ANGEL,FEDERAL TRANSFERIDO,TÉCNICA
31DES0011P,ALFREDO BARRERA VASQUEZ,SANDY,FEDERAL TRANSFERIDO,GENERAL
31EES0112M,AUGUSTO ALEJANDRO CÁRDENAS PINELO GUTY CARDENAS,ALICIA,ESTATAL,GENERAL
31DES2026E,RUBEN DARIO HERRERA MARTINEZ,SANDY,FEDERAL TRANSFERIDO,GENERAL
31DST0032U,RICARDO LOPEZ MENDEZ,CARLOS,FEDERAL TRANSFERIDO,TÉCNICA
31EES0060X,GONZALO LOPEZ MANZANERO,ALICIA,ESTATAL,GENERAL
31EES0052O,GENERAL LEANDRO VALLE MARTINEZ,ALICIA,ESTATAL,GENERAL
31ETV0005J,MANUEL CRESCENCIO REJON,CARLOS,ESTATAL,TELESECUNDARIA
31EES0102F,FELIPA POOT TZUC,ALICIA,ESTATAL,GENERAL
31ETV0007H,SALVADOR ALVARADO,CARLOS,ESTATAL,TELESECUNDARIA
31DES0001I,SANTIAGO BURGOS BRITO,SANDY,FEDERAL TRANSFERIDO,GENERAL
31DST0044Z,ESCUELA SECUNDARIA TECNICA NUM. 44,ANGEL,FEDERAL TRANSFERIDO,TÉCNICA
31EES0020W,DIEGO LOPE DE COGOLLUDO,ALICIA,ESTATAL,GENERAL
31ETV0156P,FABIO ESPINOSA GRANADOS,CARLOS,ESTATAL,TELESECUNDARIA
